Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
84,Circle,Geometric Shapes,2,,,,,,,,,
85,Circle,Geometric Shapes,2,,,,,,,,,
86,Circle,Geometric Shapes,2,,,,,,,,,
87,Text,Standard,2,,,,,,,,50MHZ,
88,Circle,Geometric Shapes,2,,,,,,,,,
89,Process,Flowchart Shapes/Containers,2,,,,,,,,SDRAM,
90,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
91,Circle,Geometric Shapes,2,,,,,,,,,
92,Text,Standard,2,,,,,,,,data_out,
93,Text,Standard,2,,,,,,,,address,
94,Text,Standard,2,,,,,,,,data_in,
95,Text,Standard,2,,,,,,,,EN_write_to_RAM,
96,Text,Standard,2,,,,,,,,EN_read_from_RAM,
97,Text,Standard,2,,,,,,,,EN_AddressRegRead,
98,Text,Standard,2,,,,,,,,EN_write_to_RAM,
99,Text,Standard,2,,,,,,,,EN_read_from_RAM,
100,Text,Standard,2,,,,,,,,EN_AddressRegRead,
101,Circle,Geometric Shapes,2,,,,,,,,,
102,Circle,Geometric Shapes,2,,,,,,,,,
103,Circle,Geometric Shapes,2,,,,,,,,,
104,Line,,2,,,22,19,None,Arrow,,10 bits,
105,Line,,2,,,75,76,None,None,,,
106,Line,,2,,,17,37,None,Arrow,,2 bits,
107,Line,,2,,,16,35,None,Arrow,,2 bits,
108,Line,,2,,,15,36,None,Arrow,,,
109,Line,,2,,,14,34,None,Arrow,,,
110,Line,,2,,,10,38,None,Arrow,,4 bits,
111,Line,,2,,,11,39,None,Arrow,,,
112,Line,,2,,,12,40,None,Arrow,,,
113,Line,,2,,,13,41,None,Arrow,,,
114,Line,,2,,,8,24,None,Arrow,,IR_Enable,
115,Line,,2,,,101,48,None,Arrow,,Shared_Data_Bus,
116,Line,,2,,,9,69,None,Arrow,,Extrn_Enable_Signal,
117,Line,,2,,,60,,None,Arrow,,,
118,Line,,2,,,53,,None,Arrow,,10,
119,Line,,2,,,52,,None,Arrow,,7,
120,Line,,2,,,51,,None,Arrow,,7,
121,Line,,2,,,50,,None,Arrow,,7,
122,Line,,2,,,49,,None,Arrow,,7,
123,Line,,2,,,65,29,None,Arrow,,Clear_Signal,
124,Line,,2,,,28,59,None,None,,2 bits,
125,Line,,2,,,59,20,None,Equilateral Arrow,,,
126,Line,,2,,,59,46,None,Arrow,,Timestep_2_bits,
127,Line,,2,,,56,66,None,None,,,
128,Line,,2,,,63,23,None,None,,,
129,Line,,2,,,64,75,None,None,,,
130,Line,,2,,,64,54,None,None,,,
131,Line,,2,,,63,64,None,None,,Shared_Data_Bus 10bit,
132,Line,,2,,,5,65,None,None,,,
133,Line,,2,,,65,32,None,Arrow,,,
134,Line,,2,,,66,67,None,None,,,
135,Line,,2,,,57,47,None,Arrow,,Read_From_Register_File 10 bits,
136,Line,,2,,,58,67,None,None,,,
137,Line,,2,,,66,76,None,None,,,
138,Line,,2,,,72,33,None,Arrow,,Data_2_bits 2Bit,
139,Line,,2,,,,62,None,Arrow,,1'b1,
140,Line,,2,,,18,75,None,None,,,
141,Line,,2,,,76,103,None,None,,,
142,Line,,2,,,77,63,None,None,,,
143,Line,,2,,,81,78,None,None,,Debounced_Clock_Button,
144,Line,,2,,,73,45,None,Arrow,,Debounced_Peek_Button,
145,Line,,2,,,80,78,None,None,,,
146,Line,,2,,,81,61,None,None,,Debounced_Clock_Button,
147,Line,,2,,,44,78,None,None,,,
148,Line,,2,,,61,26,None,Arrow,,,
149,Line,,2,,,61,31,None,Arrow,,,
150,Line,,2,,,74,81,None,None,,,
151,Line,,2,,,68,70,None,None,,,
152,Line,,2,,,69,70,None,Arrow,,,
153,Line,,2,,,70,77,None,Equilateral Arrow,,,
154,Line,,2,,,68,72,None,Arrow,,RawData 1:0,
155,Line,,2,,,68,83,None,None,,,
156,Line,,2,,,,84,None,None,,,
157,Line,,2,,,,85,None,None,,,
158,Line,,2,,,,86,None,None,,,
159,Line,,2,,,,88,None,None,,,
160,Line,,2,,,44,91,None,None,,,
161,Line,,2,,,98,95,None,Arrow,,,
162,Line,,2,,,99,96,None,Arrow,,,
163,Line,,2,,,100,97,None,Arrow,,,
164,Line,,2,,,92,101,None,None,,,
165,Line,,2,,,67,101,None,None,,,
166,Line,,2,,,102,93,None,None,,,
167,Line,,2,,,103,102,None,None,,,
168,Line,,2,,,102,94,None,None,,,
169,Line,,2,,,103,42,None,None,,,
